wave,fnu,enu,aper_flux,aper_err,aper_corr,flam,elam
2.6233848264507853,3.5951080055330544e-12,1.0833254182571505e-13,3.4975898e-12,1.1946588e-13,1.146770079851402,1.564017005391991e-19,4.712902571827885e-21
2.63884051407181,3.414014583773112e-12,1.3298650914130926e-13,3.368156e-12,1.5731618e-13,1.146806760223436,1.4678869815600205e-19,5.717877317205207e-21
2.654216852836523,3.5661491221811224e-12,1.4342917736461082e-13,3.4855716e-12,1.6441945e-13,1.1468432622524842,1.5155847549390327e-19,6.095624921436199e-21
2.6695145894580055,3.5009610404571507e-12,1.4291263148811323e-13,3.5086107e-12,1.6587491e-13,1.1468795875557753,1.4708765144569065e-19,6.004260854261087e-21
2.6856019002742144,3.1442959951658296e-12,1.3504890518593258e-13,3.612429e-12,1.7638442e-13,1.1469177983618615,1.305249948250243e-19,5.606106320022007e-21
2.700741005618663,3.3174423471053483e-12,1.4579411076411436e-13,3.6068577e-12,1.8189924e-13,1.14695376691478,1.3617301099029752e-19,5.984496780999205e-21
2.7158045292843664,3.717699031619752e-12,1.5417107177145975e-13,3.706361e-12,1.8641004e-13,1.1469895654572944,1.5091442207749889e-19,6.258343668912189e-21
2.730793359135193,3.885011913242844e-12,1.6650727576424706e-13,3.7960546e-12,1.8900548e-13,1.1470251959546773,1.55979747146793e-19,6.685117922876533e-21
2.7457083770367174,4.103547144629387e-12,1.6971603622257973e-13,3.88012e-12,1.9795938e-13,1.1470606603609428,1.629686781668066e-19,6.7401194898180385e-21
2.760550458483838,3.728647402816912e-12,1.6144261897267346e-13,3.7239226e-12,1.9666105e-13,1.147489710709783,1.4649185221752998e-19,6.3427902199303704e-21
2.7753204722633606,3.5466214480432616e-12,1.6107000306181983e-13,3.3442368e-12,1.7775468e-13,1.1480782432296612,1.3786121152268838e-19,6.260974306777708e-21
2.790018982086736,3.6073788373341657e-12,1.6874478700134366e-13,3.3590977e-12,1.8345443e-13,1.1486664383339245,1.3874935416096088e-19,6.490371893340595e-21
2.804646827550882,4.079242628231756e-12,1.6295587711049076e-13,3.8674727e-12,1.7962033e-13,1.1492542843995182,1.5526612297476625e-19,6.2025060926238395e-21
2.8192050575046395,4.040008315281345e-12,1.2457378896867241e-13,3.8228778e-12,1.3631678e-13,1.14984177917396,1.521887186476126e-19,4.692744133349654e-21
2.833694513388332,4.471208739191584e-12,1.1053809543366498e-13,3.9800776e-12,1.100589e-13,1.1504289130204062,1.6671413371270945e-19,4.121539363829428e-21
2.8481160286946032,4.5181017223718805e-12,8.219739079104935e-14,3.9865862e-12,7.698811e-14,1.1510156768656385,1.667608813990658e-19,3.0338647023252233e-21
2.862470428793951,4.285068450594988e-12,6.447593663820496e-14,3.713578e-12,6.045729e-14,1.1516020621762029,1.5657747287469935e-19,2.3559668501065837e-21
2.876758530784975,4.4352047810536606e-12,6.129547819514671e-14,3.869166e-12,5.6431273e-14,1.1521880609356003,1.6045763643149895e-19,2.2175588367748754e-21
2.890981143362358,4.395759367373257e-12,6.160064041708974e-14,3.807128e-12,5.659119e-14,1.152773665622273,1.574696729579454e-19,2.2067251388866662e-21
2.905138954165415,4.4783337568971456e-12,5.917959243092133e-14,3.9285697e-12,5.4857493e-14,1.1533588645278463,1.5886790585355168e-19,2.0993830359980253e-21
2.9192315181860438,4.497585796516252e-12,6.106885704950817e-14,3.8700787e-12,5.5699687e-14,1.1539435995987948,1.5801412523717665e-19,2.1455381759224553e-21
2.933260873385212,4.2811766576756474e-12,6.029664931320677e-14,3.701491e-12,5.4900833e-14,1.15452791641394,1.4897565499631769e-19,2.098192516632842e-21
2.9472277960139075,4.4283696398113816e-12,6.086592886953334e-14,3.8282246e-12,5.5383056e-14,1.1551118092794896,1.5264057343199143e-19,2.097975336474416e-21
2.9611330534969507,4.3337368214854314e-12,6.371768667734896e-14,3.7648756e-12,5.804144e-14,1.1556952729000123,1.4797904593691744e-19,2.175693373228347e-21
2.9749770270647375,4.5805940370024915e-12,6.37791099443945e-14,3.91977e-12,5.7715524e-14,1.1562782864417227,1.5495589532931883e-19,2.157569303218158e-21
2.9887592843601865,4.638608931068844e-12,6.458119104197788e-14,4.003586e-12,5.8794685e-14,1.1568607951352865,1.5547458869321184e-19,2.164600263522458e-21
3.0024820414907207,4.499536902119575e-12,6.453684736512373e-14,3.8541267e-12,5.86259e-14,1.1574064757404239,1.4943781681951432e-19,2.1433862605094423e-21
3.0161460323267018,4.564575016761618e-12,6.301089157335914e-14,4.0494517e-12,5.823914e-14,1.1577871175762489,1.502274004835494e-19,2.0737883392115328e-21
