#id,gabe_ra,gabe_dec,m_F140W,m_F160W,z_p,z_spec,STELLARITY,in_obs_region_1,in_obs_region_2,in_obs_region_3,NRS_F110W,NRS_F140X,NRS_CLEAR,REFERENCE,WEIGHT,comment
17570,150.10429239720108,2.3649426256301016,24.380367446747364,24.413757409470687,0.209,2.7121,0.0,False,True,True,24.49255752563477,24.465232849121094,24.69021415710449,0,5000, z_spec>2:
15790,150.09887704993332,2.3469848518067074,24.63781756464776,24.256523495920035,2.585,2.5512,0.88,False,True,True,24.958972930908203,24.59821891784668,24.19545555114746,0,5000, SF z>2: z_spec>2:
16259,150.09710119256522,2.349225388661195,22.46708504140174,22.194378365054867,2.603,2.4662,0.03,False,True,True,22.979211807250977,22.55477523803711,22.08674049377441,0,5000, SF z>2: z_spec>2:
14736,150.05322757552938,2.3355953093048996,,24.271089513442767,2.694,2.6967,0.56,False,False,True,24.703279495239254,24.52643203735352,24.266027450561523,0,5000, SF z>2: z_spec>2:
19935,150.06154113869422,2.3794807676491496,,23.60828510443955,2.041,2.082,0.09,False,True,True,24.088836669921875,23.88666343688965,23.62685203552246,0,5000, SF z>2: z_spec>2:
17200,150.07627356176158,2.3603706307442356,23.937551033135477,23.575749035782163,3.465,-99.0,0.81,False,True,True,24.24794578552246,23.87986946105957,23.230300903320312,0,3000, SF z>2: SF M>9 z>3:
17922,150.09019227218863,2.3705876522813845,23.590472914678625,23.457310339927517,3.532,-99.0,0.04,False,True,True,23.854082107543945,23.535070419311523,22.87523460388184,0,3000, SF z>2: SF M>9 z>3:
15950,150.08637125647547,2.3490819499084044,25.281202896018815,25.17165921937844,3.021,-99.0,0.54,False,True,True,25.97303581237793,25.659751892089844,25.439037322998047,0,3000, SF z>2: SF M>9 z>3:
20200,150.11583767870235,2.3746594910533636,24.836554955402875,24.518435032102655,3.041,-99.0,0.78,False,True,True,25.124765396118164,24.901935577392575,24.603029251098636,0,3000, SF z>2: SF M>9 z>3:
17945,150.0685974130373,2.368151650908591,25.548017202953332,24.68770473217386,3.082,-99.0,0.1,False,True,True,25.47939109802246,25.057374954223636,24.502805709838867,0,3000, SF z>2: SF M>9 z>3:
17170,150.0968615157677,2.3608042126306565,25.073696974988692,24.434957454101156,3.061,-99.0,0.17,False,True,True,25.406408309936523,24.717485427856445,23.607223510742188,0,3000, SF z>2: SF M>9 z>3:
15448,150.0615532869744,2.344030140609758,,25.79230356749927,3.29,-99.0,0.0,False,False,True,26.449575424194336,26.14728164672852,25.69139289855957,0,3000, SF z>2: SF M>9 z>3:
17909,150.0943022809969,2.3701683918612657,23.55439936233895,23.26375024335224,3.51,-99.0,0.06,False,True,True,23.892446517944336,23.67559242248535,23.265426635742188,0,3000, SF z>2: SF M>9 z>3:
19919,150.1179748478766,2.3785118772138087,24.335868587250964,24.22917067102107,3.041,-99.0,0.09,False,True,True,25.094825744628903,24.63990020751953,24.04087448120117,0,3000, SF z>2: SF M>9 z>3:
17871,150.07745997680615,2.3687637298202517,25.339167362416518,25.152566760110204,3.487,-99.0,0.27,False,True,True,25.48114585876465,25.32791328430176,25.048051834106445,0,3000, SF z>2: SF M>9 z>3:
20342,150.10371614231943,2.3715428971153454,24.948910327984308,25.063831304722427,3.764,-99.0,0.36,False,True,True,25.62247467041016,25.40546989440918,24.246095657348636,0,3000, SF z>2: SF M>9 z>3:
14628,150.0725939441012,2.3351278058313327,25.231212288576963,25.19439859376964,3.248,-99.0,0.12,False,True,True,25.56793785095215,25.340368270874023,24.968923568725582,0,3000, SF z>2: SF M>9 z>3:
17296,150.06183583239428,2.362590914850537,25.55387297440028,25.332815790500785,3.061,-99.0,0.0,False,True,True,25.927047729492188,25.73269462585449,25.3931827545166,0,3000, SF z>2: SF M>9 z>3:
17300,150.11803880013906,2.3628445564576057,26.20081714460642,25.208911191138238,3.102,-99.0,0.24,False,True,True,25.912208557128903,25.67898750305176,25.460376739501957,0,3000, SF z>2: SF M>9 z>3:
17302,150.07600530553137,2.3626396890672594,24.98787513681267,24.90000811587744,3.143,-99.0,0.02,False,True,True,25.647634506225582,25.21992874145508,24.59659576416016,0,3000, SF z>2: SF M>9 z>3:
17305,150.0899361298554,2.362448018269019,25.699798225814135,25.50228474388144,3.443,-99.0,0.02,False,True,True,25.780567169189453,25.647388458251957,25.42159843444824,0,3000, SF z>2: SF M>9 z>3:
20640,150.11654609539877,2.3737857112836265,24.882182921296373,24.724249789770383,3.001,-99.0,0.01,False,True,True,25.27643585205078,25.09355354309082,24.91657257080078,0,3000, SF z>2: SF M>9 z>3:
19791,150.0778337410912,2.3839288340006557,24.384979077873925,24.188583991516207,3.624,-99.0,0.04,False,True,True,24.39796638488769,24.24120140075684,23.817750930786133,0,3000, SF z>2: SF M>9 z>3:
16009,150.07113198821284,2.3494629714543094,24.447638809191467,24.441227699298118,3.333,-99.0,0.44,False,True,True,24.92609405517578,24.755023956298828,24.499589920043945,0,3000, SF z>2: SF M>9 z>3:
14583,150.0876804169665,2.334813493532977,25.441531269920738,25.505794392695336,3.082,-99.0,0.05,False,True,True,26.061511993408203,25.68948173522949,25.381235122680664,0,3000, SF z>2: SF M>9 z>3:
17228,150.07694739052204,2.3607581633130605,21.945779922691848,21.741043387321923,3.021,-99.0,0.62,False,True,True,22.73255157470703,22.09409523010254,21.323585510253903,0,3000, SF z>2: SF M>9 z>3:
17903,150.05323737779716,2.3676929420893433,25.367393435121176,24.7860779069588,3.578,-99.0,0.02,False,True,True,25.29939842224121,25.13145446777344,24.73702812194824,0,3000, SF z>2: SF M>9 z>3:
19207,150.09683354378674,2.3708886661745927,28.803522442097535,25.625995416328227,3.487,-99.0,0.3,False,True,True,26.440275192260746,26.323076248168945,26.06664657592773,0,3000, SF z>2: SF M>9 z>3:
15345,150.10076272153466,2.34145867751294,23.9027308326159,23.61648800779271,3.269,-99.0,0.0,False,True,True,24.37672996520996,23.92681884765625,23.17852020263672,0,3000, SF z>2: SF M>9 z>3:
15339,150.07487969059872,2.342787066071182,25.647982445650243,25.267210840383015,3.74,-99.0,0.13,False,True,True,25.586599349975582,25.53644180297852,25.397464752197266,0,3000, SF z>2: SF M>9 z>3:
19860,150.11184319812236,2.3774981951161127,24.147507395051733,24.190632560712473,3.51,-99.0,0.04,False,True,True,24.604297637939453,24.417293548583984,23.93135452270508,0,3000, SF z>2: SF M>9 z>3:
